analitico_registro,analitico_humedad,analitico_s,analitico_t,analitico_ph_pasta,analitico_ph_h2o,analitico_ph_kcl,analitico_resistencia_pasta,analitico_base_ca,analitico_base_mg,analitico_base_k,analitico_base_na,analitico_arcilla,analitico_carbono_organico_c,analitico_carbono_organico_n,analitico_limo_2_20,analitico_limo_2_50,analitico_arena_muy_fina,analitico_arena_fina,analitico_arena_media,analitico_arena_gruesa,analitico_arena_muy_gruesa,analitico_arena_total,analitico_gravas,analitico_ca_co3,analitico_agua_15_atm,analitico_agua_util,analitico_conductividad,analitico_h,analitico_saturacion_t,analitico_saturacion_s_h,analitico_densidad_aparente,analitico_profundidad_muestra,analitico_agua_3_atm,analitico_carbono_organico_cn,analitico_base_al,analitico_p_ppm,barnices,co3,color_humedo_hvc,color_seco_hvc,concreciones,consistencia_en_seco,consistencia_en_humedo,consistencia_adhesividad,consistencia_plasticidad,estructura_tipo,estructura_clase,estructura_grado,formaciones_especiales,horizonte,humedad,id,limite_tipo,limite_forma,moteados,perfil_id,perfil_numero,perfil_profundidad_napa,perfil_cobertura_vegetal,perfil_material_original,perfil_modal,perfil_fecha,perfil_vegetacion_o_cultivos,perfil_observaciones,perfil_publico,perfil_capacidad_subclases,perfil_capacidad_clase,perfil_ubicacion_descripcion,perfil_ubicacion_recorrido,perfil_ubicacion_mosaico,perfil_ubicacion_aerofoto,perfil_ubicacion_latitud,perfil_ubicacion_longitud,perfil_paisaje_tipo,perfil_paisaje_forma,perfil_paisaje_simbolo,perfil_humedad_subclases,perfil_humedad_clase,perfil_erosion_clase,perfil_erosion_subclase,perfil_pedregosidad_clase,perfil_pedregosidad_subclase,perfil_serie_nombre,perfil_serie_simbolo,perfil_serie_descripcion,perfil_serie_provincia,perfil_grupo_codigo,perfil_grupo_descripcion,perfil_fase_codigo,perfil_fase_nombre,perfil_sales,perfil_uso_de_la_tierra,perfil_relieve,perfil_permeabilidad,perfil_escurrimiento,perfil_pendiente,perfil_anegamiento,perfil_drenaje,perfil_posicion,ph,profundidad_inferior,profundidad_superior,raices,textura
NA,NA,NA,25.42,6.5,NA,5.25,950,13.47,9.43,0.26,0.15,26.3,1,NA,NA,27.7,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,92,NA,NA,0-21,NA,NA,NA,NA,,NA,5YR 2.5/2,7.5YR 3/2,NA,ligeramente duro,friable,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,,A1,NA,14603,NA,NA,NA,3230,Perfil M 25,NA,NA,Tobas,no modal,1990-11-01,Estepa herbácea (Coirón y Neneo),"Altitud: 2450 metros, relieve ondulado",true,NA,NA,"El Llano (Andacollo), 1500 metros del camino Chos-Malal - Andacollo",NA,NA,NA,-37.216667,-70.6,Geomorfología: Colina sobre planicie alta,NA,NA,NA,NA,NA,NA,NA,NA,Perfil M 25,NA,NA,Neuquén,NA,Argixerol típico,NA,NA,NA,NA,NA,NA,NA,NA,NA,clase 3,NA,NA,21,0,rrr,franco arcillo arenoso
NA,NA,NA,30.23,6.4,NA,5.2,1000,14.91,10.84,0.27,0.18,35.7,0.79,NA,NA,27.2,NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,NA,87,NA,NA,21-32,NA,NA,NA,NA,+,NA,5YR 2.5/2,5YR 3/2,NA,ligeramente duro,friable,adhesivo,plástico,bloques angulares,medios,fuerte,barnices finos y contínuos,B1t,NA,14604,NA,NA,NA,3230,Perfil M 25,NA,NA,Tobas,no modal,1990-11-01,Estepa herbácea (Coirón y Neneo),"Altitud: 2450 metros, relieve ondulado",true,NA,NA,"El Llano (Andacollo), 1500 metros del camino Chos-Malal - Andacollo",NA,NA,NA,-37.216667,-70.6,Geomorfología: Colina sobre planicie alta,NA,NA,NA,NA,NA,NA,NA,NA,Perfil M 25,NA,NA,Neuquén,NA,Argixerol típico,NA,NA,NA,NA,NA,NA,NA,NA,NA,clase 3,NA,NA,32,21,rr,franco arcilloso
NA,NA,NA,33.54,6.45,NA,5.25,700,16.9,13.49,0.27,0.25,41.7,0.48,NA,NA,25.4,NA,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,NA,92,NA,NA,32-56,NA,NA,NA,NA,++,NA,5YR 3/2,5YR 3/2,NA,muy duro,firme,,,prismas,medios,,barnices gruesos y contínuos,B21t,NA,14605,NA,NA,NA,3230,Perfil M 25,NA,NA,Tobas,no modal,1990-11-01,Estepa herbácea (Coirón y Neneo),"Altitud: 2450 metros, relieve ondulado",true,NA,NA,"El Llano (Andacollo), 1500 metros del camino Chos-Malal - Andacollo",NA,NA,NA,-37.216667,-70.6,Geomorfología: Colina sobre planicie alta,NA,NA,NA,NA,NA,NA,NA,NA,Perfil M 25,NA,NA,Neuquén,NA,Argixerol típico,NA,NA,NA,NA,NA,NA,NA,NA,NA,clase 3,NA,NA,56,32,r,arcilloso
NA,NA,NA,37.61,7.65,NA,NA,330,NA,NA,0.45,1.04,61.5,NA,NA,NA,22,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,0.48,NA,100,NA,NA,56-77,NA,NA,NA,NA,++,NA,5YR 4/2,5YR 4/3,NA,muy duro,muy firme,,,bloques angulares,gruesos,fuerte,"Escasos carbonatos libres en la masa; barnices de tensión, gruesos, discontínuos y abundantes",B22tca,NA,14606,NA,NA,NA,3230,Perfil M 25,NA,NA,Tobas,no modal,1990-11-01,Estepa herbácea (Coirón y Neneo),"Altitud: 2450 metros, relieve ondulado",true,NA,NA,"El Llano (Andacollo), 1500 metros del camino Chos-Malal - Andacollo",NA,NA,NA,-37.216667,-70.6,Geomorfología: Colina sobre planicie alta,NA,NA,NA,NA,NA,NA,NA,NA,Perfil M 25,NA,NA,Neuquén,NA,Argixerol típico,NA,NA,NA,NA,NA,NA,NA,NA,NA,clase 3,NA,NA,77,56,,
NA,NA,NA,41,7.9,NA,NA,240,NA,NA,0.38,1.47,58.8,NA,NA,NA,26,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,0.93,NA,100,NA,NA,77-107+,NA,NA,NA,NA,++,NA,5YR 5/3,5YR 5/3,NA,muy duro,,,,bloques angulares,muy gruesos,,Abundantes carbonatos pulverulentos en algunas grietas recubriéndolas; barnices de fricción abundantes,Cca,NA,14607,NA,NA,NA,3230,Perfil M 25,NA,NA,Tobas,no modal,1990-11-01,Estepa herbácea (Coirón y Neneo),"Altitud: 2450 metros, relieve ondulado",true,NA,NA,"El Llano (Andacollo), 1500 metros del camino Chos-Malal - Andacollo",NA,NA,NA,-37.216667,-70.6,Geomorfología: Colina sobre planicie alta,NA,NA,NA,NA,NA,NA,NA,NA,Perfil M 25,NA,NA,Neuquén,NA,Argixerol típico,NA,NA,NA,NA,NA,NA,NA,NA,NA,clase 3,NA,NA,107,77,,arcilloso
461,9.63,NA,NA,7,7.2,6.24,5800,NA,NA,NA,NA,6.46,0.63,NA,5.69,27.04,50.4,14.2,0.84,0.71,0.09,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,0-20,NA,NA,NA,NA,NA,,NA,NA,NA,suelto,muy friable,NA,NA,bloques angulares,medios,moderado,NA,A1,F,22745,claro,suave,NA,5136,III-606 C,NA,NA,NA,no modal,1981-11-02,monte ralo de calden (rebrotes),"Muy fino y seco. No entra el barreno
El C es mas suelto y friable",true,NA,VI,a 500 al N de granville (casi codo del camino),NA,8O,NA,-33.446667,-65.865556,NA,plano,M3,"seco, fresco",NA,NA,NA,NA,NA,Comandante Granville,CG,NA,San Luis,NA,NA,NA,NA,NA,ganadero,normal,moderadamente rápida,medio,0 - 1%,NA,clase 4,NA,NA,20,0,++,arenoso
462,9.08,NA,NA,8,8.47,7.47,8112,NA,NA,NA,NA,5.76,0.51,NA,6.02,21.09,53.57,16.82,1.11,1.12,0.55,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,20-35,NA,NA,NA,NA,NA,,NA,NA,NA,suelto,muy friable,NA,NA,bloques angulares,gruesos,débil,NA,AC,F/S,22746,abrupto,,NA,5136,III-606 C,NA,NA,NA,no modal,1981-11-02,monte ralo de calden (rebrotes),"Muy fino y seco. No entra el barreno
El C es mas suelto y friable",true,NA,VI,a 500 al N de granville (casi codo del camino),NA,8O,NA,-33.446667,-65.865556,NA,plano,M3,"seco, fresco",NA,NA,NA,NA,NA,Comandante Granville,CG,NA,San Luis,NA,NA,NA,NA,NA,ganadero,normal,moderadamente rápida,medio,0 - 1%,NA,clase 4,NA,NA,35,20,+,arenoso
463,9.12,NA,NA,8.6,8.92,7.89,9790,NA,NA,NA,NA,5.63,0.28,NA,5.94,20.75,54.53,16.57,1.02,1.05,0.42,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,100-110,NA,NA,NA,NA,NA,+,NA,NA,NA,,,NA,NA,bloques angulares,,,NA,Cca,S,22747,,,NA,5136,III-606 C,NA,NA,NA,no modal,1981-11-02,monte ralo de calden (rebrotes),"Muy fino y seco. No entra el barreno
El C es mas suelto y friable",true,NA,VI,a 500 al N de granville (casi codo del camino),NA,8O,NA,-33.446667,-65.865556,NA,plano,M3,"seco, fresco",NA,NA,NA,NA,NA,Comandante Granville,CG,NA,San Luis,NA,NA,NA,NA,NA,ganadero,normal,moderadamente rápida,medio,0 - 1%,NA,clase 4,NA,NA,45,35,,arenoso
6673,NA,NA,17.49,NA,7.66,6.94,NA,NA,NA,NA,0.31,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,0.86,0-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,blando,NA,NA,NA,bloques subangulares,finos,débil,Arena media/fina. Color oscuro,Ap,NA,13500,NA,NA,NA,2978,P11 C11,NA,70,Arenas,no modal,2011-08-27,"Campo enmalezado, labrado para romper los camellones de caña de azúcar.",Régimen údico-térmico.,true,NA,NA,Est. Zelaya- Arroyo Misto,NA,NA,NA,-27.218083,-65.155639,Valle,NA,NA,NA,NA,NA,NA,NA,NA,Perfil 11 - Comisión 11 - Convenio Inta-Enargas,NA,NA,Tucumán,NA,Hapludol éntico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tendido,NA,12,0,2,NA
6672,NA,NA,14.26,NA,8.14,7.25,NA,NA,NA,NA,0.51,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,1.21,12-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,blando,NA,NA,NA,masiva,,,Arena media/fina. Color oscuro,AC,NA,13501,NA,NA,NA,2978,P11 C11,NA,70,Arenas,no modal,2011-08-27,"Campo enmalezado, labrado para romper los camellones de caña de azúcar.",Régimen údico-térmico.,true,NA,NA,Est. Zelaya- Arroyo Misto,NA,NA,NA,-27.218083,-65.155639,Valle,NA,NA,NA,NA,NA,NA,NA,NA,Perfil 11 - Comisión 11 - Convenio Inta-Enargas,NA,NA,Tucumán,NA,Hapludol éntico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tendido,NA,55,12,2,NA
