perfil_id,fecha,numero,clase,lon,lat
6831,1973-11-28,19/7 C,"",-60.413941,-36.174103
6912,2000-07-07,127,"Halacueptes vérticos, franca fina, hipertérmico",-58.636028,-29.299488
6865,1974-03-26,9/3042 C,Natracualf álbico,-59.870494,-36.232516
1206,1992-08-26,ER1-73C,Argiudol ácuico,-59.544739,-32.921128
991,2006-01-01,"",Torrifluventes tipico,-69.066203,-33.524824
6836,1973-12-05,19/10 C,"Natracualf típico, fina",-60.443783,-36.290781
2262,2001-05-01,AC 55,Torripsamente ústico,-64.116667,-28.1
1882,2004-03-31,ER7-150C,Peluderte árgico,-59.108857,-33.078147
4210,1960-11-16,684/sn,Regosólico (Pardo regosólico?),-66.258717,-32.342433
1755,1982-12-08,ER7-34C,Natracualfe glósico,-59.14287,-31.078432
2015,1982-05-24,CFI 1334,"Hapludalfes arénicos, franco fina, mixta ",-57.213988,-27.615221
7616,1970-10-27,27/532 C,"Natracualf, fina",-58.44933,-36.868098
5668,1982-01-01,B/219C,"",-67.878065,-34.708478
5636,1991-01-01,C4,"",-62.628333,-39.396667
7136,1973-07-05,2/1619 C,"Argiudol típico, fina",-60.607197,-36.767201
5934,2008-10-01,P 16,Calciargides típico,-69.531833,-41.882555
7280,1970-12-18,6/1659 C,"",-59.742569,-36.860699
4311,2010-01-01,C2,"",-67.5625,-29.215
7473,1974-12-10,12/3365 C,"Pelluderte típico, muy fina, mixta, térmica",-57.077843,-36.913328
4922,1979-03-29,III-322 C,"",-65.526111,-35.0325
3795,1959-10-14,627/25C,"",-63.578034,-22.440066
2752,1974-12-11,8/2424 C,"Pelludert típico, fina, mixta, térmica",-57.107663,-37.326888
1953,1981-01-30,1861,"Psamacuentes mólicos, arenosa, mixta ",-57.392576,-28.091424
5479,2011-01-01,Perfil 26,"",-59.359618,-30.722851
5021,1983-07-06,C-415 RN,"",-66.416944,-39.792389
6990,1972-12-07,22/1461 C,"",-60.158228,-36.431018
4790,1979-10-09,I-606 C,"",-65.332778,-34.671389
3230,1990-11-01,Perfil M 25,Argixerol típico,-70.6,-37.216667
4356,1987-07-08,C III 906,"",-66.768889,-33.407778
3768,1979-08-23,C 100,haplustoles enticos,-64.0372,-25.2139
4826,1980-05-12,III-465 C,"",-65.379167,-33.979167
1292,1989-11-01,C - 23,Paleustol petrocálcico (2014),-62.736967,-38.969111
439,1967-06-21,8/757 C,"",-61.360949,-34.128664
6216,2017-06-05,2708,"Epiacueptes aéricos, franco fina",-57.578306,-28.893806
6698,1970-02-25,7/1250 C,"Argiudol petrocálcico, franca fina",-58.415295,-37.877354
7506,2013-09-09,81,"Hapludalfes vérticos, franco fina",-58.785472,-28.886833
6305,1992-03-25,23,"  Paleudalfes plínticos, franco fina, mixta, hipertérmica",-56.525549,-28.655525
694,1967-03-29,11/1041 C,Planosólico ?,-61.17182,-33.734275
3501,1990-11-01,Perfil M 18,Xerortente  típico,-70.566667,-36.6
7041,1987-09-23,D-26,Argiacuoles vérticos,-57.778172,-29.906231
4200,1963-06-08,865/9C,Calcisol (Gipsysol),-59.994283,-28.628833
6314,1977-04-01,T 36,"",-61.659872,-34.234822
6358,1966-10-27,6/485 C,"Argiudol típico, limosa fina, mixta, térmica",-61.665833,-33.969167
934,2006-01-01,934,Torrifluventes tipico,-68.892558,-33.218036
2456,2015-02-26,CFI 1824,"Epiacualfes vérticos, arcillosa fina",-58.70488,-27.880414
855,1967-05-18,11/1145 C,"",-61.358336,-33.700999
3380,1979-11-03,Cc 550,"",-63.9413,-25.514
3055,1990-11-01,Perfil 57,Torriortente típico,-69.333333,-39.183333
7252,1974-12-04,1/3086 C,"",-57.928211,-37.033275
5103,1983-04-12,C-403 RN,"",-70.456833,-41.622278
6031,1973-11-21,23/1486 C,Natralbol típico,-58.154555,-36.066258
6438,1978-08-23,P-206C,"Natracualf típico, fina, mixta, térmica",-63.116667,-30.183333
4677,1981-06-10,II-C 706,"",-66.114444,-33.3275
3247,0001-01-01,3247,"Hapludalf psamacuéntico thapto árgico, franco gruesa",-60.938889,-32.039722
1860,1997-11-18,ER7-127C,Argiudol ácuico,-60.206871,-31.5189
748,1966-10-21,13/553 C,"",-59.805261,-34.621571
5623,1967-10-05,16/53C,"",-61.593397,-33.055189
1238,1966-11-17,2/391 C,Brunizem planosólico,-59.590603,-34.781208
1301,1967-03-27,2/403 C,Natracualf típico,-59.414593,-34.706477
2375,1972-03-22,CFI 1113,Udipsamment ácuico,-58.493926,-28.702872
1053,2006-01-01,"",Torrifluventes tipico,-69.109562,-33.905824
2778,1990-11-13,89 C,"Haplustol éntico, franca gruesa, mixta, térmica",-63.240278,-37.236389
5013,1982-09-06,C-256 RN,"",-65.371917,-41.273333
6687,1972-03-02,3/1269 C,"",-57.487528,-35.237096
4362,2011-01-01,C43,Ustipsamment típico,-61.85047,-23.95454
3436,2015-08-15,Cal 3,"",-68.576228,-31.686556
3008,1981-12-09,30-2886C,Haplustol éntico. franca gruesa. mixta. térmica,-63.2447,-32.6014
7600,1970-12-11,25/604 C,"",-58.432216,-36.940204
2673,1972-10-26,22/1042 C,Hapludol tapto árgico,-57.868333,-36.034167
1386,2007-11-27,Obs. 7,Cuarzipsament (?),-62.179444,-39.591944
3603,1977-01-01,588 C,Torriortente típico,-65.7,-38.05
